filename,zcr_mean,zcr_std,spectral_centroid,mean_spectral_rolloff,std_spectral_rolloff,spectral_bandwidth,chroma_deviation_mean,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,genre
blues.00000.wav,0.082393246,0.01500003,1784.16585,3805.839606,949.4763955,2002.44906,0.35008812,-113.5706482,121.5717926,-19.16814232,42.36642075,-6.364664078,18.62349892,-13.7048912,15.34315014,-12.27410984,10.97657204,-8.326573372,8.803792953,-3.6723001,5.7479949,-5.162881851,0.752739847,-1.690214634,-0.408978969,-2.303522587,1.221290112,blues
blues.00001.wav,0.055740539,0.022937809,1530.176679,3550.522098,1725.657379,2039.036516,0.340913564,-207.5016937,123.9912643,8.955126762,35.8776474,2.907319784,21.51046753,-8.560436249,23.37068558,-10.09966087,11.90049744,-5.55563879,5.376327038,-2.231760263,4.220140457,-6.01214838,0.92799741,-0.731124699,0.295073122,-0.283518016,0.531215847,blues
blues.00002.wav,0.075774912,0.014547265,1552.811865,3042.260232,885.4572043,1747.702312,0.363637209,-90.72259521,140.4463043,-29.09388924,31.6843338,-13.98450375,25.7647419,-13.66487503,11.63993359,-11.78364182,9.71876049,-13.13380337,5.791199207,-8.907628059,-1.077000141,-9.229273796,2.45168972,-7.729092598,-1.816406846,-3.439720392,-2.231258869,blues
blues.00003.wav,0.033182477,0.011431133,1070.106615,2184.745799,1221.963322,1596.412872,0.404784709,-199.5442047,150.0908966,5.662678242,26.85907936,1.77139926,14.23403072,-4.832006454,9.286494255,-0.759186506,8.137606621,-3.200653076,6.079319,-2.480173588,-1.079304576,-2.870788336,0.780873477,-3.319596052,0.636965215,-0.619121134,-3.407449007,blues
blues.00004.wav,0.1009306,0.032723707,1835.004266,3579.757627,1254.18413,1748.172116,0.308526039,-160.3377075,126.219635,-35.58781052,22.14807129,-32.47860336,10.85229397,-23.35233116,0.498433679,-11.793437,1.207255125,-13.08841801,-2.813867092,-6.933384418,-7.552725315,-9.164666176,-4.520575047,-5.454033852,-0.916873634,-4.404826164,-11.70323372,blues
blues.00005.wav,0.093499377,0.059469465,1831.99394,3481.517592,1809.541367,1729.653287,0.30245629,-177.7742462,118.2054825,-17.56587982,30.76240158,-21.74784088,11.92099476,-20.73099327,3.186577797,-8.586038589,-0.932852149,-11.77243423,-2.405832291,-9.343665123,-9.936209679,-3.903994799,-5.576589584,-1.838263392,-2.78379941,-3.047909021,-8.109991074,blues
blues.00006.wav,0.072304981,0.028607354,1459.366472,2795.610963,1273.358561,1389.009131,0.291327983,-190.0523682,130.2890778,-36.36953354,33.02903366,11.10878181,-0.605583549,-20.87185478,0.273024887,-6.486140251,-5.516767502,-7.83975172,-3.128592014,-6.596197128,-9.950378418,-6.535177231,-10.06805134,-10.91317463,-6.971335888,-3.436504602,-6.483465672,blues
blues.00007.wav,0.060930985,0.034999622,1451.667066,2954.83676,1276.373759,1577.270941,0.307954788,-179.3471375,136.4690094,-26.67313766,39.98424149,5.30441618,10.92861176,-20.56482697,8.511157036,-11.35724926,-3.468346596,-8.419937134,-6.949715137,-3.539139271,-8.041617393,-8.96067524,-8.426083565,-10.56893539,-10.78451443,-4.690677166,-8.630722046,blues
blues.00008.wav,0.063489959,0.011165759,1719.368948,3782.316288,1123.795795,2031.740381,0.40887922,-121.363945,122.5066681,-14.73819637,46.13106537,-8.181879044,20.18296242,-19.17337799,23.03913879,-11.83822346,21.15999985,-6.718366146,6.99254179,-12.73059559,5.061324596,-5.183214664,-1.45255959,-7.041825294,2.695248127,3.412305355,-2.71569252,blues
blues.00009.wav,0.078694768,0.02036009,1817.150863,3943.490565,1169.46066,1973.773306,0.273950398,-213.2399902,115.1656036,-11.6934309,39.0142746,-20.34127808,13.07760525,-9.173518181,9.011446953,-14.10063362,4.265941143,-6.046167374,3.782207012,0.221799299,-5.109399319,-0.41023016,-1.179920793,-1.916804552,-2.292660475,2.881967068,-4.235203743,blues
